,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
36,"RT @whitegirlsnude: check out <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/d8pHSBzpzP <ed><U+00A0><U+00BD><ed><U+00B1><U+0088>
#ThursdayThoughts
#thirsttrap
#ThursdayMotivation
#ThursdayTreat https://t.co/jXW…",FALSE,0,NA,15-09-2017 04:25,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bigtom1010,30,TRUE,FALSE,NA,NA
37,"RT @SparkleSoup45: Antifa ldr is @JohnJayCollege prof who jokes/obsesses abt dead cops &amp; executing students

#Tucker
#ThursdayThoughts 
htt…",FALSE,0,NA,15-09-2017 04:25,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PunKanus_V3,272,TRUE,FALSE,NA,NA
38,"RT @whitegirlsnude: check out <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/d8pHSBzpzP <ed><U+00A0><U+00BD><ed><U+00B1><U+0088>
#ThursdayThoughts
#thirsttrap
#ThursdayMotivation
#ThursdayTreat https://t.co/mmu…",FALSE,0,NA,15-09-2017 04:25,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",primustd83,8,TRUE,FALSE,NA,NA
39,"RT @SparkleSoup45: Antifa ldr is @JohnJayCollege prof who jokes/obsesses abt dead cops &amp; executing students

#Tucker
#ThursdayThoughts 
htt…",FALSE,0,NA,15-09-2017 04:25,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FischerJonh,272,TRUE,FALSE,NA,NA
40,RT @LeahR77: Dems ALWAYS Forget Video.. RICE LIED About Obama Admn Unmasking Trump Transition Team  #ThursdayThoughts https://t.co/gfSTCM68…,FALSE,0,NA,15-09-2017 04:25,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mgtythor,443,TRUE,FALSE,NA,NA
41,Act Without Expectations! #inspiration #motivation #ThursdayThoughts https://t.co/bcfbT85iSE via @NNP_W_Light,FALSE,0,NA,15-09-2017 04:25,FALSE,NA,9.08547E+17,NA,"<a href=""http://triberr.com"" rel=""nofollow"">Triberr</a>",dla1950,1,FALSE,FALSE,NA,NA
42,"RT @coolcam101: JJ Watt trying to stop Deshaun Watson from being with Mia Khalifa.
 #ThursdayThoughts https://t.co/bA7rli39iB",FALSE,0,NA,15-09-2017 04:25,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ColtonShadronnn,916,TRUE,FALSE,NA,NA
43,"RT @LunaLuvgood2017: If we can have Russians in the White House 

Why can't we have Dreamers in the US? 

#ThursdayThoughts    #SaveDACA…",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MaggieM57,219,TRUE,FALSE,NA,NA
44,"@realDonaldTrump DACA for the DNC's Retirement!
That's the DEAL I can live with!

#TrumpTrain #MAGA #Trump… https://t.co/eaxE8ahhbt",FALSE,0,realDonaldTrump,15-09-2017 04:24,TRUE,9.0841E+17,9.08547E+17,25073877,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Cyber_Techie,0,FALSE,FALSE,NA,NA
45,"RT @LunaLuvgood2017: If we can have Russians in the White House 

Why can't we have Dreamers in the US? 

#ThursdayThoughts    #SaveDACA…",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BurnettCynthia,219,TRUE,FALSE,NA,NA
46,"RT @JeanGrey80: #ThursdayThoughts: although no completed deal, here's to @SenSchumer &amp; @NancyPelosi for working to save #DACA. She IS a #Ma…",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",catlover1943,104,TRUE,FALSE,NA,NA
47,"RT @NinetyFive_UK: If 100 people lived on Earth.
#ThursdayThoughts https://t.co/pZMAefKF6w",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coricrows,2386,TRUE,FALSE,NA,NA
48,RT @mrjosephbonner: Surviving After A Natural Disaster - 6 Things That May Save Your Life  #HurricaneIrmaAftermath #ThursdayThoughts https:…,FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Travj101,602,TRUE,FALSE,NA,NA
49,"RT @TomHall: Guaranteed to make you #Happy!

Dolphins Surfing!

<ed><U+00A0><U+00BD><ed><U+00B0><U+00AC> <ed><U+00A0><U+00BD><ed><U+00B0><U+00AC> <ed><U+00A0><U+00BC><ed><U+00BF><U+0084><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> <ed><U+00A0><U+00BD><ed><U+00B0><U+00AC> <ed><U+00A0><U+00BD><ed><U+00B0><U+00AC>

#ThursdayThoughts #Travel #Vacation #Beach #Dolphin https://t.c…",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MaflaMena,212,TRUE,FALSE,NA,NA
50,"RT @StrawberryComm: #ThursdayThoughts nearly 90% of US-grown #Strawberries are from #California creating 70,000+ jobs!",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shirlfior,114,TRUE,FALSE,NA,NA
51,"@realDonaldTrump DACA for the DNC's Retirement!
That's the DEAL I can live with!

#TrumpTrain #MAGA #Trump… https://t.co/yIqlkbwY2k",FALSE,0,realDonaldTrump,15-09-2017 04:24,TRUE,9.08413E+17,9.08547E+17,25073877,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Cyber_Techie,0,FALSE,FALSE,NA,NA
52,"RT @SilERabbit: #ThursdayThoughts
Hillary's book + blame tour is pure revisionist trash.
FACT
More Bernie folks voted for her than her folk…",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Trivie831,151,TRUE,FALSE,NA,NA
53,"RT @jojoh888: There are truly no limits for this one to push whatever fits her narrative...

#ThursdayThoughts
#Sarsour https://t.co/gTfwbt…",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",DavidWa39715864,174,TRUE,FALSE,NA,NA
54,RT @AndyVanDyke: Fear is not the enemy. Paralysis is the enemy. - Seth Godin #quote #ThursdayThoughts #ThursdayThoughts https://t.co/w3Q1Uf…,FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Automutt,1,TRUE,FALSE,NA,NA
55,RT @GrantCardone: #ThursdayThoughts. Every time I quit I have to start all over again.  #neverquit,FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rjumpstartxp,34,TRUE,FALSE,NA,NA
56,"RT @SparkleSoup45: Antifa ldr is @JohnJayCollege prof who jokes/obsesses abt dead cops &amp; executing students

#Tucker
#ThursdayThoughts 
htt…",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jimboazil,272,TRUE,FALSE,NA,NA
57,"@realDonaldTrump DACA for the DNC's Retirement!
That's the DEAL I can live with!

#TrumpTrain #MAGA #Trump… https://t.co/TBd6Lh4fJo",FALSE,0,realDonaldTrump,15-09-2017 04:24,TRUE,9.08413E+17,9.08547E+17,25073877,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Cyber_Techie,0,FALSE,FALSE,NA,NA
58,"RT @hrtablaze: Good Job on being useful idiots ! <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>

@billoreilly absolutely nails it ! 

#DACADeal #ThursdayThoughts 

 https://t.co/8lMbV…",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",oscarbodine,464,TRUE,FALSE,NA,NA
59,"RT @SparkleSoup45: Antifa ldr is @JohnJayCollege prof who jokes/obsesses abt dead cops &amp; executing students

#Tucker
#ThursdayThoughts 
htt…",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PadroBevpadro,272,TRUE,FALSE,NA,NA
60,RT @alphabetsuccess: Man is the cruelest animal. - Nietzsche #quote #ThursdayThoughts https://t.co/SUW4WjZF4e,FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",spc_jjaehyun,10,TRUE,FALSE,NA,NA
61,"@realDonaldTrump DACA for the DNC's Retirement!
That's the DEAL I can live with!

#TrumpTrain #MAGA #Trump… https://t.co/xYcGGn5uuQ",FALSE,0,realDonaldTrump,15-09-2017 04:24,TRUE,9.08438E+17,9.08547E+17,25073877,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Cyber_Techie,0,FALSE,FALSE,NA,NA
62,@Fuctupmind @InTheYear1611_ @michaelbeatty3 @hrenee80 @StacyLStiles @Rubysayzz @ManMountain78R3 @chfortrump… https://t.co/hzc9wMs2Od,FALSE,2,Fuctupmind,15-09-2017 04:24,TRUE,9.08545E+17,9.08547E+17,139499789,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SparkleSoup45,1,FALSE,FALSE,NA,NA
63,RT @TeenZombieShow: I feel the happiest when a dog is excited to see me #ThursdayThoughts #love #pets https://t.co/BO4N2wKQSy,FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KinjoAikldoDojo,63,TRUE,FALSE,NA,NA
64,RT @mrjosephbonner: Surviving After A Natural Disaster - 6 Things That May Save Your Life  #HurricaneIrmaAftermath #ThursdayThoughts https:…,FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ChadDoughty,602,TRUE,FALSE,NA,NA
65,RT @mrjosephbonner: Surviving After A Natural Disaster - 6 Things That May Save Your Life  #HurricaneIrmaAftermath #ThursdayThoughts https:…,FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",revbretts,602,TRUE,FALSE,NA,NA
66,"RT @LunaLuvgood2017: If we can have Russians in the White House 

Why can't we have Dreamers in the US? 

#ThursdayThoughts    #SaveDACA…",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WonderWomyn2,219,TRUE,FALSE,NA,NA
67,"@realDonaldTrump DACA for the DNC's Retirement!
That's the DEAL I can live with!

#TrumpTrain #MAGA #Trump… https://t.co/Ibocp35lpE",FALSE,0,realDonaldTrump,15-09-2017 04:24,TRUE,9.08494E+17,9.08547E+17,25073877,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Cyber_Techie,1,FALSE,FALSE,NA,NA
68,RT @VoteDarlene: Looking forward to our #SupportFellowProgressives Twitter Party Friday starting at 7 p.m. EST! #ThursdayThoughts  #BetheCh…,FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sister4resists,1,TRUE,FALSE,NA,NA
69,RT @LeahR77: Dems ALWAYS Forget Video.. RICE LIED About Obama Admn Unmasking Trump Transition Team  #ThursdayThoughts https://t.co/gfSTCM68…,FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",qwreggelsworth,443,TRUE,FALSE,NA,NA
70,RT @Coopsgreenteam: Acandleloses nothing by lighting another candle. - Erin Majors #quote  #ThursdayThoughts #askcoop @Coopscoaching #entre…,FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>",ElizabethEvans3,6,TRUE,FALSE,NA,NA
71,"RT @latoyajackson: Don't #stress out over things you can't control or change.
#ThursdayThoughts",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",georgie_oakes,84,TRUE,FALSE,NA,NA
72,"RT @TheBaxterBean: Amen. 

#ThursdayThoughts https://t.co/RAXN6nXjrU",FALSE,0,NA,15-09-2017 04:24,FALSE,NA,9.08547E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AustinDem1,363,TRUE,FALSE,NA,NA
73,A child needs your love most when they deserve it least. - Erma Bombeck #quote #ThursdayThoughts https://t.co/9tsd6edvbk,FALSE,0,NA,15-09-2017 04:23,FALSE,NA,9.08547E+17,NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",stephlivey,0,FALSE,FALSE,NA,NA
